carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
alpha-air-transport,Alpha Air Transport,7U,Canada,Scheduled,,,,,,,,,,,,,,no,no
alrosa,ALROSA,6R,Russia,Scheduled,,,,,,,,,,,,,,no,no
alsa-grupo-slu,Alsa Grupo SLU,5I,Spain,Scheduled,,,,,,,,,,,,,,no,no
amadeus-it-group-sa,Amadeus IT Group SA,1A,Spain,Scheduled,,,,,,,,,,,,,,no,no
amakusa-airlines,Amakusa Airlines,MZ,Japan,Scheduled,,,,,,,,,,,,,,yes,no
amaszonas,Amaszonas,Z8,Bolivia,Scheduled,,,,,,,,,,,,,,no,no
amaszonas-uruguay,Amaszonas Uruguay,Z7,Uruguay,Scheduled,,,,,,,,,,,,,,no,no
amelia,Amelia,8R,France,Scheduled,,,,,,,,,,,,,,no,no
american-eagle,American Eagle,ZZ,United States,Scheduled,,,,https://duffelairways.com,,,,,,,https://duffelairways.com/dummy-url/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
amerijet-international-inc,Amerijet International Inc.,M6,United States,Scheduled,,,,,,,,,,,,,,yes,no
amtrak,Amtrak,2V,United States,Scheduled,,,,,,,,,,,,,,no,no
ana-wings,ANA Wings,EH,Japan,Scheduled,,,,https://www.ana.co.jp,,,,,,,https://www.ana.co.jp/en/gb/siteinfo/international/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
andes-lineas-aereas,Andes Lineas Aereas,O4,Argentina,Scheduled,,,,,,,,,,,,,,no,no
angara-airlines,Angara Airlines,2G,Russia,Scheduled,,,,,,,,,,,,,,no,no
anguilla-air-services,Anguilla Air Services,Q3,Russia,Scheduled,,,,,,,,,,,,,,no,no
animawings,Animawings,A2,Romania,Scheduled,,,,,,,,,,,,,,no,no
apa-guam,APA Guam,P9,Guam,Scheduled,,,,,,,,,,,,,,no,no
apg-airlines,APG Airlines,GP,France,Scheduled,,,,https://back-apgairlines.orchestra-platform.com,,,,,,,https://back-apgairlines.orchestra-platform.com/admin/TS/fckUserFiles/Content_File/carriage_conditions_APGAirlines_EN.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
arajet,Arajet,DM,Dominican Republic,Low-cost,,,,,,,,,,,,,,no,no
arctic-transportation-services-inc-ryan-air,"Arctic Transportation Services, Inc Ryan Air",7S,United States,Scheduled,,,,,,,,,,,,,,no,no
ariana-afghan-airlines,Ariana Afghan Airlines,FG,Afghanistan,Scheduled,,,,https://www.flyariana.com,,,,,,,https://www.flyariana.com/FooterLinks/Legal,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
