carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes
hawaiian-airlines,Hawaiian Airlines,HA,United States,Scheduled,yes,en-us,manual-priority,North America,https://www.hawaiianairlines.com/content/ha/about-us/help-contact,https://www.hawaiianairlines.com/content/ha/about-us/help-contact,,https://www.hawaiianairlines.com/content/travel-info/baggage/carry-on-luggage,https://www.hawaiianairlines.com/content/travel-info/baggage/baggage-fee-waivers-exceptions,,,https://www.hawaiianairlines.com/legal/international-contract-of-carriage,,yes,2026-09-03,0,3,no,yes,yes,https://www.hawaiianairlines.com/legal/international-contract-of-carriage,baggage_checked_url;fare_conditions_url;checkin_url;article_selector,3/6 urls imported from filled priority CSV
hawkair,Hawkair,BH,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hayways,Hayways,Y5,Armenia,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hebei-airlines,Hebei Airlines,NS,China,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
heli-air-monaco,Heli Air Monaco,YO,Monaco,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
helicopteros-del-sureste,Helicópteros del Sureste,UV,Spain,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
helijet,Helijet,JB,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
helvetic-airways,Helvetic Airways,2L,Switzerland,Scheduled,yes,en,manual-priority,Europe,https://www.helvetic.com/en/help,https://www.helvetic.com/en/help,,,,,,https://www.helvetic.com/en/travelinfo,,yes,2026-09-03,0,1,no,yes,yes,https://www.helvetic.com/en/travelinfo,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
heron-aviation,Heron Aviation,0V,Germany,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
heston-airlines,Heston Airlines,HN,Lithuania,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hi-fly-ltd,Hi Fly Ltd,5M,Portugal,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hisky,HiSky,H7,Moldova,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hisky-europe,HiSky Europe,H4,Romania,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
himalaya-airlines,Himalaya Airlines,H9,Nepal,Scheduled,yes,en,manual-priority,Asia,https://www.himalaya-airlines.com/contact/faqs,https://www.himalaya-airlines.com/contact/faqs,https://www.himalaya-airlines.com/services/baggage-information/746-checked-baggage,https://www.himalaya-airlines.com/services/baggage-information/747-hand-baggage,https://www.himalaya-airlines.com/services/baggage-information/746-checked-baggage,,https://www.himalaya-airlines.com/services/online-check-in,https://www.himalaya-airlines.com/travel-ha/general-conditions-of-carriage,,yes,2026-09-03,1,4,no,no,yes,https://www.himalaya-airlines.com/travel-ha/general-conditions-of-carriage,fare_conditions_url;article_selector,5/6 urls imported from filled priority CSV
hinterland-aviation,Hinterland Aviation,OI,Australia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hong-kong-air-cargo-carrier-limited,Hong Kong Air Cargo Carrier Limited,RH,Hong Kong,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hong-kong-airlines,Hong Kong Airlines,HX,Hong Kong SAR of China,Scheduled,yes,en,manual-priority,Asia,https://www.hongkongairlines.com,,https://www.hongkongairlines.com/en_HK/hx/Checked+baggage,https://www.hongkongairlines.com/en_CN/fly-with-us/baggage/checkedbaggage,https://www.hongkongairlines.com/en_HK/hx/Checked+baggage,,,https://www.hongkongairlines.com/en_HK/footer/legal-privacy/home,,yes,2026-09-03,1,3,no,yes,yes,https://www.hongkongairlines.com/en_HK/footer/legal-privacy/home,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
horizon-air,Horizon Air,QX,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
humo-air,Humo Air,HJ,Uzbekistan,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hunnu-air,Hunnu Air,MR,Germany,Scheduled,yes,en,manual-priority,Europe,https://www.hunnuair.com/en/contacts,https://www.hunnuair.com/en/contacts,,,https://www.hunnuair.com/cn/baggagefee,,,,,yes,2026-09-03,0,1,no,yes,yes,,baggage_checked_url;baggage_carryon_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,1/6 urls imported from filled priority CSV
hydro-quebec,Hydro - Quebec,0Q,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
heli-securite-helicopter-airline,Héli Sécurité Hélicopter Airline,HS,France,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iata-clearing-houseinternational-air-transport-association,IATA - Clearing HouseInternational Air Transport Association,XB,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ibc-airways,IBC Airways,II,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ihy-izmir-havayollari-as,IHY Izmir Havayollari A.S.,44,Turkey,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
infini-travel-information-inc,"INFINI Travel Information, Inc.",1F,Japan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iryo,IRYO,I6,Spain,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ita-airways,ITA Airways,AZ,Italy,Scheduled,yes,en-it,1b,Europe,https://www.ita-airways.com,,https://www.ita-airways.com/en_en/fly-ita/baggage/checked-baggage.html,https://www.ita-airways.com/en_en/fly-ita/baggage/hand-baggage.html,https://www.ita-airways.com/en_en/fly-ita/baggage/excess-baggage.html,https://www.ita-airways.com/en_en/fly-ita/fare-rules.html,https://www.ita-airways.com/en_en/fly-ita/check-in.html,https://www.ita-airways.com/en_en/footer/terms-and-conditions/conditions-of-carriage.html,,yes,2026-09-03,0,6,no,yes,no,https://www.ita-airways.com/en_il/booking/general-conditions-of-carriage.html,article_selector,6/6 urls
ita-software-inc,ITA Software Inc.,1U,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
iberia,Iberia,IB,Spain,Scheduled,yes,en-es,1b,Europe,https://www.iberia.com,,https://www.iberia.com/es/baggage/allowance-in-hold/,https://www.iberia.com/es/baggage/hand-luggage/,https://www.iberia.com/es/baggage/excess-baggage/,https://www.iberia.com/es/fares/,https://www.iberia.com/es/online-checkin/,https://www.iberia.com/es/general-conditions-of-carriage/,,yes,2026-09-03,0,6,no,yes,no,https://www.iberia.com/gb/bills/conditions/,article_selector,6/6 urls
iberia-express,Iberia Express,I2,Spain,Low-cost,yes,en,manual-priority,Europe,https://www.iberiaexpress.com,,https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/baggage/checked-baggage,https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/baggage/hand-baggage,https://www.iberiaexpress.com/en/general-info/passenger-information/before-you-go/baggage/checked-baggage,,,https://www.iberiaexpress.com/en/general-info/contact/general-terms-and-conditions/general-conditions-of-carriage,,yes,2026-09-03,0,4,no,yes,no,https://www.iberiaexpress.com/en/general-info/contact/general-terms-and-conditions/general-conditions-of-carriage,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
iberojet,Iberojet,E9,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ibex-airlines,Ibex Airlines,FW,Japan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ibom-air,Ibom Air,QI,Denmark,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
icelandair,Icelandair,FI,Iceland,Scheduled,yes,en,manual-priority,Europe,https://www.icelandair.com/support,https://www.icelandair.com/support,https://www.icelandair.com/support/baggage,https://www.icelandair.com/support/baggage,https://www.icelandair.com/support/baggage,,,https://www.icelandair.com/support/terms-and-conditions/conditions-of-carriage/,,yes,2026-09-03,0,4,no,yes,no,https://www.icelandair.com/support/terms-and-conditions/conditions-of-carriage/,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
ikar,Ikar,EO,Russia,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
