carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
avianca,Avianca,AV,Colombia,Scheduled,,,,https://www.avianca.com,,,,,,,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
avianca-costa-rica,Avianca Costa Rica,LR,Costa Rica,Scheduled,,,,https://www.avianca.com,,,,,,,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
avianca-ecuador,Avianca Ecuador,2K,Ecuador,Scheduled,,,,,,,,,,,avianca.com/otr/en/about-us/legal-documentation/contract-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aviastar-tu,Aviastar-TU,4B,Russia,Scheduled,,,,https://www.boutiqueair.com,,,,,,,https://www.boutiqueair.com/pages/terms,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
avion-express-lithuania,Avion Express Lithuania,X9,Lithuania,Scheduled,,,,,,,,,,,,,,yes,no
avion-express-malta,Avion Express Malta,4X,Malta,Scheduled,,,,,,,,,,,,,,yes,no
azerbaijan-airlines,Azerbaijan Airlines,J2,Azerbaijan,Scheduled,,,,https://www.azal.az,,,,,,,https://www.azal.az/en/information/rules-and-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
batik-air,Batik Air,ID,Indonesia,Scheduled,,,,,,,,,,,,,,yes,no
bearskin-airlines,Bearskin Airlines,JV,Canada,Scheduled,,,,,,,,,,,,,,yes,no
beijing-capital-airlines,Beijing Capital Airlines,JD,China,Scheduled,,,,https://intl.jdair.net,,,,,,,https://intl.jdair.net/news/index?id=73&valueMenuaid=75,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
bemidji-airlines,Bemidji Airlines,CH,United States,Scheduled,,,,,,,,,,,,,,yes,no
bering-air,Bering Air,8E,United States,Scheduled,,,,,,,,,,,,,,yes,no
berjaya-air,Berjaya Air,J8,Malaysia,Scheduled,,,,,,,,,,,,,,yes,no
bhutan-airlines,Bhutan Airlines,B3,Bhutan,Scheduled,,,,,,,,,,,,,,yes,no
binter-canarias,Binter Canarias,NT,Spain,Scheduled,,,,https://www.bintercanarias.com,,,,,,,https://www.bintercanarias.com/eng/information/contract-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
blue-air,Blue Air,0B,Romania,Low-cost,,,,,,,,,,,,,,yes,no
blue-islands,Blue Islands,SI,United Kingdom,Scheduled,,,,,,,,,,,,,,yes,no
blue1,Blue1,KF,Finland,Scheduled,,,,https://www.airbelgium.com,,,,,,,https://www.airbelgium.com/en/legal/general-terms-and-conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
boliviana-de-aviacion,Boliviana de Aviación,OB,Bolivia,Scheduled,,,,https://www.boa.bo,,,,,,,https://www.boa.bo/content/docs/contrato_transporte_en.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
breeze-airways,Breeze Airways,MX,United States,Low-cost,,,,,,,,,,,,,,yes,no
brit-air,Brit Air,DB,France,Scheduled,,,,,,,,,,,,,,yes,no
brussels-airlines,Brussels Airlines,SN,Belgium,Scheduled,,,,https://www.brusselsairlines.com,,,,,,,https://www.brusselsairlines.com/de/en/legal-notices/terms-and-conditions-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
buddha-air,Buddha Air,U4,Nepal,Scheduled,,,,,,,,,,,,,,yes,yes
bulgaria-air,Bulgaria Air,FB,Bulgaria,Scheduled,,,,https://www.air.bg,,,,,,,https://www.air.bg/en/customer-support/general-conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,yes
buta-airways,Buta Airways,55,Azerbaijan,Low-cost,,,,,,,,,,,,,,no,yes
bvi-airways,BVI Airways,XV,British Virgin Islands,Scheduled,,,,,,,,,,,,,,yes,no
cabo-verde-airlines,Cabo Verde Airlines,VR,Cape Verde,Scheduled,,,,https://caboverdeairlines.com,,,,,,,https://caboverdeairlines.com/general-terms-and-conditions/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
calm-air,Calm Air,MO,Canada,Scheduled,,,,https://www.calmair.com,,,,,,,https://www.calmair.com/before-you-fly/passenger-rights,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
canadian-north,Canadian North,5T,Canada,Scheduled,,,,,,,,,,,,,,yes,no
carpatair,Carpatair,V3,Romania,Scheduled,,,,,,,,,,,,,,yes,no
cayman-airways,Cayman Airways,KX,Cayman Islands,Scheduled,,,,https://www.caymanairways.com,,,,,,,https://www.caymanairways.com/contract-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
ceiba-intercontinental,CEIBA Intercontinental,C2,Equatorial Guinea,Scheduled,,,,,,,,,,,,,,yes,no
cemair,CemAir,5Z,South Africa,Scheduled,,,,https://www.flycemair.co.za,,,,,,,https://www.flycemair.co.za/general_r/extras_and_info.php,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,yes
central-mountain-air,Central Mountain Air,9M,Canada,Scheduled,,,,,,,,,,,,,,yes,yes
chair-airlines,Chair Airlines,GM,Switzerland,Scheduled,,,,,,,,,,,,,,no,yes
chautauqua-airlines,Chautauqua Airlines,RP,United States,Scheduled,,,,,,,,,,,,,,yes,no
chengdu-airlines,Chengdu Airlines,EU,China,Scheduled,,,,,,,,,,,,,,yes,yes
china-cargo-airlines,China Cargo Airlines,CK,China,Scheduled,,,,,,,,,,,,,,yes,no
china-express-airlines,China Express Airlines,G5,China,Scheduled,,,,,,,,,,,,,,yes,yes
