name,slug,iata,country,type
Bees Airline,bees-airline,7B,Ukraine,Low-cost
Beijing Capital Airlines,beijing-capital-airlines,JD,China,Scheduled
Belavia,belavia,B2,Belarus,Scheduled
Bemidji Airlines,bemidji-airlines,CH,United States,Scheduled
Bering Air,bering-air,8E,United States,Scheduled
Berjaya Air,berjaya-air,J8,Malaysia,Scheduled
BermudAir,bermudair,2T,Bermuda,Scheduled
Berniq Airways,berniq-airways,NB,Libya,Scheduled
Bhutan Airlines,bhutan-airlines,B3,Bhutan,Scheduled
Biman Bangladesh Airlines,biman-bangladesh-airlines,BG,Bangladesh,Scheduled
Binter Canarias,binter-canarias,NT,Spain,Scheduled
Blue Air,blue-air,0B,Romania,Low-cost
Blue Bird Airways,blue-bird-airways,BZ,Kenya,Scheduled
Blue Islands,blue-islands,SI,United Kingdom,Scheduled
Blue1,blue1,KF,Finland,Scheduled
Boliviana de Aviación,boliviana-de-aviacion,OB,Bolivia,Scheduled
Bonza,bonza,AB,Australia,Low-cost
Breeze Airways,breeze-airways,MX,United States,Low-cost
Bringer Air Cargo,bringer-air-cargo,E6,Brazil,Scheduled
Brit Air,brit-air,DB,France,Scheduled
British Airways,british-airways,BA,United Kingdom,Scheduled
Brussels Airlines,brussels-airlines,SN,Belgium,Scheduled
Buddha Air,buddha-air,U4,Nepal,Scheduled
Buffalo Airways Ltd.,buffalo-airways-ltd,J0,Canada,Scheduled
Bul Air,bul-air,LB,India,Scheduled
Bulgaria Air,bulgaria-air,FB,Bulgaria,Scheduled
Buraq Air,buraq-air,UZ,Libya,Scheduled
Buta Airways,buta-airways,55,Azerbaijan,Low-cost
Buzz,buzz,RR,Poland,Low-cost
CEIBA Intercontinental,ceiba-intercontinental,C2,Equatorial Guinea,Scheduled
CJSC Royal Flight airlines,cjsc-royal-flight-airlines,4R,Russia,Scheduled
CM Airlines,cm-airlines,H5,Honduras,Scheduled
CSA Czech Airlines,csa-czech-airlines,OK,Czech Republic,Scheduled
Cabo Verde Airlines,cabo-verde-airlines,VR,Cape Verde,Scheduled
Caicos Express Airways,caicos-express-airways,9Q,Turks and Caicos Islands,Scheduled
Calima Aviacion S.L,calima-aviacion-sl,3C,Spain,Scheduled
Calm Air,calm-air,MO,Canada,Scheduled
Camair-Co,camair-co,QC,Cameroon,Scheduled
Cambodia Airways,cambodia-airways,KR,Cambodia,Scheduled
Canadian North,canadian-north,5T,Canada,Scheduled
Canaryfly,canaryfly,PM,Spain,Scheduled
Cape Air,cape-air,9K,United States,Scheduled
Cargojet Airways Ltd.,cargojet-airways-ltd,W8,Canada,Scheduled
Cargolux,cargolux,CV,Luxembourg,Scheduled
Caribbean Air Export Import Inc.,caribbean-air-export-import-inc,CB,United Kingdom,Scheduled
Caribbean Airlines,caribbean-airlines,BW,Trinidad and Tobago,Scheduled
Carpatair,carpatair,V3,Romania,Scheduled
Cathay Pacific,cathay-pacific,CX,Hong Kong,Scheduled
Cayman Airways,cayman-airways,KX,Cayman Islands,Scheduled
Cebgo,cebgo,DG,Philippines,Low-cost
Cebu Pacific,cebu-pacific,5J,Philippines,Low-cost
CemAir,cemair,5Z,South Africa,Scheduled
Central Airlines,central-airlines,I9,China,Scheduled
Central Mountain Air,central-mountain-air,9M,Canada,Scheduled
Centrum Air,centrum-air,C6,Uzbekistan,Low-cost
Chair Airlines,chair-airlines,GM,Switzerland,Scheduled
Chalair Aviation,chalair-aviation,CE,France,Scheduled
Challenge Air Cargo Ltd,challenge-air-cargo-ltd,X6,Malta,Scheduled
Challenge Airlines BE,challenge-airlines-be,X7,Belgium,Scheduled
Challenge Airlines IL,challenge-airlines-il,5C,Israel,Scheduled
"Charter Air Transport, Inc.",charter-air-transport-inc,VC,United States,Low-cost
Chautauqua Airlines,chautauqua-airlines,RP,United States,Scheduled
Chengdu Airlines,chengdu-airlines,EU,China,Scheduled
China Airlines,china-airlines,CI,Taiwan,Scheduled
China Cargo Airlines,china-cargo-airlines,CK,China,Scheduled
China Eastern,china-eastern,MU,China,Scheduled
China Express Airlines,china-express-airlines,G5,China,Scheduled
China Postal Airlines Ltd.,china-postal-airlines-ltd,CF,China,Scheduled
China Southern Airlines,china-southern-airlines,CZ,China,Scheduled
China United Airlines,china-united-airlines,KN,China,Low-cost
Chongqing Airlines,chongqing-airlines,OQ,China,Scheduled
Chu Kong Passenger Transport Co. Ltd.,chu-kong-passenger-transport-co-ltd,3A,China,Scheduled
Cimber,cimber,QA,Denmark,Scheduled
Cinnamon Air,cinnamon-air,C7,Sri Lanka,Scheduled
Citilink,citilink,QG,Indonesia,Low-cost
Cityjet,cityjet,WX,Ireland,Scheduled
Clic,clic,VE,Colombia,Low-cost
Coastal Aviation,coastal-aviation,CQ,United States,Scheduled
Cobalt Air,cobalt-air,CO,Cyprus,Scheduled
Colorful Guizhou Airlines,colorful-guizhou-airlines,GY,China,Low-cost
CommutAir,commutair,C5,United States,Scheduled
Compass Airlines,compass-airlines,CP,United States,Scheduled
Condor,condor,DF,Germany,Scheduled
"Conquest Air, Inc.",conquest-air-inc,C4,Mexico,Scheduled
Contour Airlines,contour-airlines,LF,United States,Scheduled
Conviasa,conviasa,V0,Venezuela,Scheduled
Copa Airlines,copa-airlines,CM,Panama,Scheduled
Corendon Airlines,corendon-airlines,XC,Turkey,Scheduled
Corendon Airlines Europe,corendon-airlines-europe,XR,Malta,Scheduled
Corendon Dutch Airlines,corendon-dutch-airlines,CD,Netherlands,Scheduled
Corsair International,corsair-international,SS,France,Scheduled
Croatia Airlines,croatia-airlines,OU,Croatia,Scheduled
Cronos Airlines,cronos-airlines,C8,Equatorial Guinea,Scheduled
Crown Airlines,crown-airlines,FQ,United States,Scheduled
Cubana,cubana,CU,Cuba,Scheduled
Cyprus Airways,cyprus-airways,CY,Cyprus,Scheduled
DHL Aero Expreso S.A.,dhl-aero-expreso-sa,D5,Panama,Scheduled
DHL Air Limited,dhl-air-limited,D0,United Kingdom,Scheduled
DHL Aviation EEMEA B.S.C.(c),dhl-aviation-eemea-bscc,ES,Bahrain,Scheduled
DHL de Guatemala,dhl-de-guatemala,L3,Guatemala,Scheduled
DOT LT,dot-lt,R6,Lithuania,Scheduled
Daallo Airlines,daallo-airlines,D3,Djibouti,Scheduled
Dan Air,dan-air,DN,India,Low-cost
Dana Air,dana-air,9J,Nigeria,Scheduled
Danish Air Transport,danish-air-transport,DX,Denmark,Scheduled
Delta Air Lines,delta-air-lines,DL,United States,Scheduled
Denver Air Connection (DAC),denver-air-connection-dac,KG,United States,Scheduled
Department of National Defence,department-of-national-defence,YF,Canada,Scheduled
Deutsche Bahn AG,deutsche-bahn-ag,2A,Germany,Scheduled
Discover Airlines,discover-airlines,4Y,Germany,Low-cost
Dniproavia,dniproavia,Z6,Ukraine,Scheduled
DoKaSch,dokasch,3D,North Macedonia,Scheduled
Dobrolet,dobrolet,QD,Russia,Scheduled
Donavia,donavia,D9,Russia,Scheduled
Donghai Airlines,donghai-airlines,DZ,China,Scheduled
Drukair,drukair,KB,Bhutan,Scheduled
E-Savtravel,e-savtravel,L1,Brazil,Scheduled
EL AL,el-al,LY,Israel,Scheduled
EVA Air,eva-air,BR,Taiwan,Scheduled
Eagle Atlantic Airlines,eagle-atlantic-airlines,E2,Ghana,Low-cost
Eaglexpress Air Charter Sdn.Bhd.dbaEaglexpress Air,eaglexpress-air-charter-sdnbhddbaeaglexpress-air,9A,Malaysia,Scheduled
Eastar Jet,eastar-jet,ZE,South Korea,Low-cost
Eastern Air Lines,eastern-air-lines,EA,United States,Scheduled
"Eastern Airlines, LLC",eastern-airlines-llc,2D,United States,Scheduled
Eastern Airways,eastern-airways,T3,United Kingdom,Low-cost
EcoJet,ecojet,8J,Bolivia,Scheduled
Edelweiss Air,edelweiss-air,WK,Switzerland,Scheduled
Egyptair,egyptair,MS,Egypt,Scheduled
Electra Airways,electra-airways,3E,Bulgaria,Scheduled
Electronic Data Systems Corporation,electronic-data-systems-corporation,1Y,United States,Scheduled
Ellinair,ellinair,EL,Greece,Scheduled
Emetebe Airlines,emetebe-airlines,0A,Ecuador,Scheduled
Emirates,emirates,EK,United Arab Emirates,Scheduled
Empire Airlines,empire-airlines,EM,United States,Scheduled
Endeavor Air,endeavor-air,9E,United States,Scheduled
Enter Air,enter-air,E4,Poland,Scheduled
