carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes,matched_source_airline_id,enrichment_sources
sky-airline,Sky Airline,H2,Chile,Low-cost,yes,en,manual-priority,South America,https://www.skyairline.com/support,https://www.skyairline.com/support,https://www.skyairline.com/en/unitedstates/equipaje,https://www.skyairline.com/en/unitedstates/equipaje,https://www.skyairline.com/en/unitedstates/equipaje,,,https://www.skyairline.com/upload/Documents/Air_transport_contract.pdf,,yes,2026-09-03,0,4,no,yes,yes,https://www.skyairline.com/upload/Documents/Air_transport_contract.pdf,fare_conditions_url;checkin_url;article_selector;,"4/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",sky-airline-403,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
sky-airline-peru,Sky Airline Peru,H8,Peru,Low-cost,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sky-airlines,Sky Airlines,ZY,Turkey,Scheduled,yes,en,manual-priority,Europe,https://www.skyairline.com/support,https://www.skyairline.com/support,https://www.skyairline.com/en/unitedstates/equipaje,https://www.skyairline.com/en/unitedstates/equipaje,https://www.skyairline.com/en/unitedstates/equipaje,,,,,yes,2026-09-03,0,3,no,yes,no,,fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"3/6 urls imported from filled priority CSV; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",sky-airline-403,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
sky-angkor-airlines,Sky Angkor Airlines,ZA,Cambodia,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sky-express-greece,Sky Express Greece,GQ,Greece,Scheduled,no,en,,Europe,https://bookings.skyexpress.gr,,https://www.skyexpress.gr/en/care-plane/luggage,https://www.skyexpress.gr/en/care-plane/luggage,https://www.skyexpress.gr/en/care-plane/luggage,,,https://bookings.skyexpress.gr/en/need-help/conditions-of-carriage,,no,,0,0,no,no,no,https://bookings.skyexpress.gr/en/need-help/conditions-of-carriage,band;help_root;fare_conditions_url;checkin_url;article_selector;,,q1584804-484,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
sky-fru,Sky Fru,R8,Kyrgyzstan,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sky-gates-airlines,Sky Gates Airlines,U3,Russia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sky-high,Sky High,DO,Italy,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sky-lease-i-inc,"Sky Lease I, Inc.",GG,United States,Scheduled,no,en,,North America,https://skyleasecargo.com,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,sky-lease-cargo-797,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
sky-mali,Sky Mali,ML,Mali,Scheduled,no,,,Africa,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
