carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file,matched_source_airline_id,enrichment_sources
air-tanzania,Air Tanzania,TC,Tanzania,Scheduled,,,,https://www.airtanzania.co.tz,,https://airtanzania.co.tz/baggage,https://airtanzania.co.tz/baggage,https://airtanzania.co.tz/baggage,,,https://www.airtanzania.co.tz/,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-tanzania-corporation-427,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-thanlwin,Air Thanlwin,ST,Myanmar,Scheduled,,,,,,,,,,,,,,yes,no,,
air-tindi,Air Tindi,8T,Canada,Scheduled,,,,https://airtindi.com,,https://airtindi.com/travel-information/baggage,https://airtindi.com/travel-information/carry-on,https://airtindi.com/travel-information/baggage,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-tindi-1167,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-transat,Air Transat,TS,Canada,Scheduled,,,,https://www.airtransat.com,,https://www.airtransat.com/en-CA/Travel-information/Baggage,https://www.airtransat.com/en-CA/Travel-information/Baggage,https://www.airtransat.com/de-DE/baggage-and-optional-services-fees,,,https://www.airtransat.com/en-GB/legal-notice-uk/general-terms-and-conditions,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-transat-1169,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-transport-international-llc,Air Transport International L.L.C.,8C,United States,Scheduled,,,,https://airtransport.cc,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-transport-international-1168,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-vanuatu,Air Vanuatu,NF,Vanuatu,Scheduled,,,,https://www.airvanuatu.com,,https://staging.airvanuatu.com/travel-info/baggage,https://staging.airvanuatu.com/travel-info/baggage,https://staging.airvanuatu.com/travel-info/baggage,,https://staging.airvanuatu.com/plan-and-book/online-check-in,https://www.airvanuatu.com/travel-info/conditions-of-carriage,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-vanuatu-1170,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-zimbabwe,Air Zimbabwe,UM,Zimbabwe,Scheduled,,,,https://airzimbabwe.aero,https://www.airzimbabwe.aero/call-centre-customer-service,https://www.airzimbabwe.aero/baggage,https://www.airzimbabwe.aero/baggage,https://www.airzimbabwe.aero/baggage,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-zimbabwe-1173,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
airbaltic,airBaltic,BT,Latvia,Low-cost,,,,https://www.airbaltic.com,,,,,,,https://www.airbaltic.com/en-GB/general-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes,,
airblue,airblue,PA,Pakistan,Low-cost,,,,https://www.airblue.com,,https://www.airblue.com/services/extra-baggage,https://www.airblue.com/services/extra-baggage,https://www.airblue.com/services/extra-baggage,,,https://www.airblue.com/corp/terms,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,airblue-957,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
airbridgecargo,AirBridgeCargo,RU,Russia,Scheduled,,,,https://airbridgecargo.com,,,,,,,https://www.airbridgecargo.com/page/47/en/page/95/conditions-of-carriage,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,airbridgecargo-airlines-1118,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
aircalin,Aircalin,SB,New Caledonia,Scheduled,,,,https://aircalin.com,,https://us.aircalin.com/en/baggages/checked-baggages,https://us.aircalin.com/en/baggages/cabin-baggages,https://us.aircalin.com/en/baggages/checked-baggages,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,aircalin-1174,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
airkenya,AirKenya,P2,Kenya,Scheduled,,,,https://airkenya.com,https://airkenya.com/contact,https://airkenya.com/baggage-policy,https://airkenya.com/baggage-policy,https://airkenya.com/baggage-policy,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,airkenya-express-1177,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
