iata,name,officialWebsiteUrl,wikipediaUrl,wikidataUrl,sourceNotes
TPE,Taoyuan International Airport,https://www.taoyuan-airport.com/,https://en.wikipedia.org/wiki/Taoyuan_International_Airport,http://www.wikidata.org/entity/Q44856,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
PEK,Beijing Capital International Airport,http://www.bcia.com.cn,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,http://www.wikidata.org/entity/Q32190,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
PVG,Shanghai Pudong International Airport,https://www.shairport.com/index_enpdjc.html,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,http://www.wikidata.org/entity/Q36420,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CAN,Guangzhou Baiyun International Airport,https://www.baiyunairport.com,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,http://www.wikidata.org/entity/Q44868,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CTU,Chengdu Shuangliu International Airport,http://www.cdairport.com,https://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport,http://www.wikidata.org/entity/Q387560,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
KIX,Kansai International Airport,https://www.kansai-airport.or.jp/tw/,https://en.wikipedia.org/wiki/Kansai_International_Airport,http://www.wikidata.org/entity/Q193682,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
DEL,Indira Gandhi International Airport,http://www.newdelhiairport.in/,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,http://www.wikidata.org/entity/Q821275,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BOM,Chhatrapati Shivaji Maharaj International Airport,https://csmia.adaniairports.com/,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Maharaj_International_Airport,http://www.wikidata.org/entity/Q504368,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BLR,Kempegowda International Airport,https://www.bengaluruairport.com/,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,http://www.wikidata.org/entity/Q503364,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
HYD,Rajiv Gandhi International Airport,http://www.hyderabad.aero,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,http://www.wikidata.org/entity/Q278667,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MAA,Chennai International Airport,https://www.aai.aero/en/airports/chennai,https://en.wikipedia.org/wiki/Chennai_International_Airport,http://www.wikidata.org/entity/Q502670,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SZX,Shenzhen Bao'an International Airport,http://www.szairport.com,https://en.wikipedia.org/wiki/Shenzhen_Bao%27an_International_Airport,http://www.wikidata.org/entity/Q842297,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
HAN,Noi Bai International Airport,http://noibaiairport.vn/en,https://en.wikipedia.org/wiki/Noi_Bai_International_Airport,http://www.wikidata.org/entity/Q844098,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SGN,Tan Son Nhut Air Base,https://www.vietnamairport.vn/tansonnhatairport/,https://en.wikipedia.org/wiki/Tan_Son_Nhut_Air_Base,http://www.wikidata.org/entity/Q4115006,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CGK,Soekarno Hatta International Airport,https://soekarnohatta.injourneyairports.id/,https://en.wikipedia.org/wiki/Soekarno%E2%80%93Hatta_International_Airport,http://www.wikidata.org/entity/Q749497,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
DPS,I Gusti Ngurah Rai International Airport,http://www.bali-airport.com,https://en.wikipedia.org/wiki/Ngurah_Rai_International_Airport,http://www.wikidata.org/entity/Q1061846,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MNL,Ninoy Aquino International Airport,https://www.newnaia.com.ph/,https://en.wikipedia.org/wiki/Ninoy_Aquino_International_Airport,http://www.wikidata.org/entity/Q86446,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
KTM,Tribhuvan International Airport,http://www.tiairport.com.np,https://en.wikipedia.org/wiki/Tribhuvan_International_Airport,http://www.wikidata.org/entity/Q61066,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CMB,Bandaranaike International Airport,http://www.airport.lk/,https://en.wikipedia.org/wiki/Bandaranaike_International_Airport,http://www.wikidata.org/entity/Q60900,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SYD,Sydney Airport,http://www.sydneyairport.com.au,https://en.wikipedia.org/wiki/Sydney_Airport,http://www.wikidata.org/entity/Q17581,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MEL,Melbourne Airport,https://www.melbourneairport.com.au/,https://en.wikipedia.org/wiki/Melbourne_Airport,http://www.wikidata.org/entity/Q733738,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BNE,Brisbane Airport,http://www.bne.com.au/,https://en.wikipedia.org/wiki/Brisbane_Airport,http://www.wikidata.org/entity/Q45523,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
PER,Perth Airport,https://www.perthairport.com.au/,https://en.wikipedia.org/wiki/Perth_Airport,http://www.wikidata.org/entity/Q45935,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
AKL,Auckland Airport,https://www.aucklandairport.co.nz/,https://en.wikipedia.org/wiki/Auckland_Airport,http://www.wikidata.org/entity/Q45938,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
JNB,OR Tambo International Airport,https://ortambointernationalairport.co.za,https://en.wikipedia.org/wiki/O._R._Tambo_International_Airport,http://www.wikidata.org/entity/Q821750,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CPT,Cape Town International Airport,http://www.capetowninternationalairport.co.za,https://en.wikipedia.org/wiki/Cape_Town_International_Airport,http://www.wikidata.org/entity/Q854130,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CAI,Cairo International Airport,https://www.cairo-airport.com/,https://en.wikipedia.org/wiki/Cairo_International_Airport,http://www.wikidata.org/entity/Q461793,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
ADD,Addis Ababa Bole International Airport,https://boleairport.com/,https://en.wikipedia.org/wiki/Addis_Ababa_Bole_International_Airport,http://www.wikidata.org/entity/Q44923,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
LOS,Murtala Muhammed International Airport,https://faan.gov.ng/mmia-lagos/,https://en.wikipedia.org/wiki/Murtala_Muhammed_International_Airport,http://www.wikidata.org/entity/Q1043631,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
NBO,Jomo Kenyatta International Airport,http://kenyaairports.co.ke/jomo-kenyatta-international-airport/,https://en.wikipedia.org/wiki/Jomo_Kenyatta_International_Airport,http://www.wikidata.org/entity/Q206349,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
CMN,Mohammed V International Airport,http://www.casablanca-airport.com,https://en.wikipedia.org/wiki/Mohammed_V_International_Airport,http://www.wikidata.org/entity/Q955433,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
ALG,Algiers Houari Boumediene Airport,https://www.aeroportalger.dz/,https://en.wikipedia.org/wiki/Houari_Boumediene_Airport,http://www.wikidata.org/entity/Q623452,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
GRU,São Paulo-Guarulhos International Airport,https://www.gru.com.br/en,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport,http://www.wikidata.org/entity/Q385406,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
EZE,Ministro Pistarini International Airport,https://www.aa2000.com.ar/es/EZE,https://en.wikipedia.org/wiki/Ezeiza_International_Airport,http://www.wikidata.org/entity/Q384788,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BOG,El Dorado International Airport,https://eldorado.aero/,https://en.wikipedia.org/wiki/El_Dorado_International_Airport,http://www.wikidata.org/entity/Q201785,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SCL,Arturo Merino Benítez International Airport,https://www.nuevopudahuel.cl/,https://en.wikipedia.org/wiki/Arturo_Merino_Ben%C3%ADtez_International_Airport,http://www.wikidata.org/entity/Q127671,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
LIM,Jorge Chávez International Airport,https://www.lima-airport.com,https://en.wikipedia.org/wiki/Jorge_Ch%C3%A1vez_International_Airport,http://www.wikidata.org/entity/Q1142219,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
GIG,Rio de Janeiro/Galeão – Antonio Carlos Jobim International Airport,https://www.riogaleao.com/passageiros,https://en.wikipedia.org/wiki/Rio_de_Janeiro/Gale%C3%A3o_International_Airport,http://www.wikidata.org/entity/Q733998,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
PTY,Tocumen International Airport,https://www.tocumenpanama.aero/,https://en.wikipedia.org/wiki/Tocumen_International_Airport,http://www.wikidata.org/entity/Q1420178,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
